user, longitude, latitude
0b2822454ffc5a38a2bf56de721b078f622d6133, -82.3247975, 29.651907
54eda25ab6eff2fe2328ce43402ddde61db61fd0, -73.9865811, 40.7305991
a0e43666174a4b203ba3588048dc219f038f60df, 82.9234476, 55.0282215
29f18c7806468914568e8fda82ce8da937f94064, -120.6596155, 35.2827525
6ac8327c645e03ddb020c5b91976f5b2b62ccc07, 0.124862, 52.2033051
2427219861747b5458882d188901315e9cf03dff, -100.4458824, 39.7837304
8d4f2bcc80f3a57b86b664297ef9145eb25eb5f5, -76.4968018, 42.4396039
11c109944f30b7d6eeb145fa4fff63f39b37d3e6, -71.1056156, 42.3750997
563c74f2fe220a86d82f25e530b27c01cd47b243, -122.2728638, 37.8708393
3e83afaa1ead4b361cfbc02671e135c2b9348f77, -122.2728638, 37.8708393
fe1f91ea6975235790aa337fea610879173e76e7, 139.294774527387, 34.2255804
e6589484dfdb6e4f118c1d3ca7960ebb27cc78dc, -95.9378731, 41.2587317
4eedc8530336881bc64810d4f6dd9a81af28aef2, -76.9382068, 39.5162234
c6dbfc0eaf1eea21e4e609dc5692c376954d2684, -122.4192362, 37.7792808
44a62dc7a8ab1f7f7a891fe2c9467e89bb6add76, 5.7210773, 45.182478
b855d606df6ed6e2f6332e3fdbe344ccd946cf3a, -122.7435756, 48.9881108
1ed30861d3c1ebd55262ff56670900b39b78b3ea, 4.351697, 50.8465565
3b279431bd019bd69a7950565282ee477fe89a3a, 134.755, -24.7761085
afab5debc38350ee608a6de5d0cd45b7461f3220, -123.0950505, 44.0505054
38bcf3a2159432e7878fdec2b776398f7438caa6, 1.8883335, 46.603354
5388d1285bc462576af3dd0663273aa8abc7b826, 13.3888599, 52.5170365
f4e04917309d8ddedc25ceb942e3f8b49b79cfe7, -73.5539819, 45.5087928
16e88bb9a23b45715b5e70713fa4e78def803de8, 60.6082502, 56.8391034
1f52f98dbecf58f71c992472875205f936db2e4e, -100.4458824, 39.7837304
9880c2ae6a8a851305d2e66480733dbf71aee386, -106.3206589, 35.8892969
6ab59f0d8038acff5202d9a4458afbba8f01ef9e, -71.1056156, 42.3750997
71e588ad2360f1d2b0157ae93dfbcca86b7738ef, 16.3725042, 48.2083537
a51645eaad52d59c7b8ff87e812b6d88b4ce6094, -77.0366455, 38.8949549
2b1d1211d69c8e817112849a157e648215871826, -2.2352281, 53.4771611
c6d0b9924c8b725cfb2b306c5cd575c4472dc5cd, -118.2439408, 34.0543942
5a072bd45c132c3c5df958fa4012abb8097832bf, 9.9999997, 51.0000003
a226a122bbcc4f1ff043a0de50c7fa07ef0c8bf9, -68.672254, 44.883299
f40d35927e42b0e7f4efdd7f4fec6198e1fa72a2, -71.0595677, 42.3604823
7e329c304bb00332ae0eaff0e30ecb53d3490ff9, -1.5228151, 47.5473786
a621e2a5faea92054d664e7b9ceb2b8eecc21dd5, -122.3558472, 37.7884969
78bc9eedcbb85e74b5b4b227c1107180ad8e5389, 82.938821088128, 25.38029175
e080fc7dfd9321ae96222df7a31d90f54508ec1a, -83.0567374, 42.3486635
b1211f9c1b4608256297abedafc7a329885d671e, -71.1056156, 42.3750997
72af5026b893d472fe15968c861829d9afdd0342, -122.4192362, 37.7792808
5d71b8c974b7b0bc42ece2d3e70ab92528276e3f, -122.0820499, 37.3855745
20ce7c35e9e4bde395ef1578e82bf3af6ab209c3, -71.2328331, 42.3500967
ba413716898c54f34cc03578183194f86fc7463a, 24.6859225, 45.9852129
8c64142403a040ff7b32f937877a6303037c10c4, -73.5539819, 45.5087928
870cadebfd518b4a6950df70df3958ea5f53f9d2, 8.2319736, 46.7985624
49f1b46d4318f48778e82c2b9faa19bd843e3427, 78.6677428, 22.3511148
af709273fe5c27fdc8082cd94c527342ce990c27, -122.1238766, 47.6694141
7c911e009ebcbd94fc6b95744389926d3aab2345, -73.9495822, 40.6501038
82461f837ee2dd6ca9b5b925de53e37be66d48e8, -118.2439408, 34.0543942
68c7455762cc5032dff9410d393927b2de84fd55, -58.4460878, -34.6143904
94e607a79d805140213ecdb41478d056878106a3, -121.7445834, 38.545379
aa96444999930247666db9f0095993456f12a57f, 10.7391112, 59.9132694
4a1c1730856471d69daa122887e7d4e1344763cb, -122.2728638, 37.8708393
dbeccfc4d5b45f3b6ac3b0d67a28d467667838e2, -120.6596155, 35.2827525
ac25330c40a20ea6fc6f6b0bf5a587bd5d7c1500, 134.755, -24.7761085
66e15f010bf0d959debf7dbb44a2e84331493576, 116.391248, 39.9059631
1a4a072b848607ab7bec82b185c7bc398d3ceb72, -120.6596155, 35.2827525
9f2f571076f0505e121d349228e9f500ce822dd3, -1.2583027, 51.752225
3bde8cd05e7008118235ba7e66900fc5eb8905bc, 11.5753822, 48.1371079
bb7f56cbccbfede3a6d5615d23a5b46d5b6a51af, -86.9080654, 40.4258686
1829f7dbce3ea534a226fc311c74692fd88fe496, -122.4192362, 37.7792808
17bea0dbc40f27c8514aa5784155910740995e78, 139.294774527387, 34.2255804
caab5e1ab0b482035a9fb826d0a649914ba55cc6, 14.5208584, 59.6749712
3c42d04052b4d30d21b548fb06b619999c6dcc38, 13.1929449, 55.7029296
37a2b3d471334f528364a2dd8f33fd929c0a2a3c, -84.5124601, 39.1014537
c557d14e10c9478513f74f7f5d8d9da8b0b338b4, -122.3300623, 47.6038321
79e3eb0fa3feb16ed38c05b52d75f7414f92c910, -71.0595677, 42.3604823
c79520a7a552a0647f07a230eb7baff182d82342, 28.1867178, -25.7458368
4ea7b2eafce93dc6ed8c743b8f0964182fc6c346, -0.1276473, 51.5073219
1ec9f3057ff363f895f89d7db9d5823789d07b96, -73.9865811, 40.7305991
827246942a01ef4ad4ca494be7290b9c5bfd5968, 10.7391112, 59.9132694
ee76fdba5e27ce6418f2bcffa46eff03df31847c, -123.1139382, 49.2608944
3e906b9780cce56cafd427ec7a15125aae9e4498, -73.9865811, 40.7305991
1e7f5b4943c92a111d873c24239ca455c53d874f, 10.4234469, 51.0834196
716d72859045f239ab1e9c90da5b6c6f7988fd9b, 2.3514992, 48.8566101
ee16e1edfb7ac85c731770fbc8dd91ef6a43eb7a, -73.9865811, 40.7305991
62b4412e5ffd2f0de09a45023c77d21296eb8e44, 21.0067265, 52.2319237
9efd165161a038fbc5d59beff5719b27cb68a1b2, -100.4458824, 39.7837304
cb90308289f6ddd55f94eb184cee6691711ae561, -118.1720156, 34.0239015
21f7c21e05b6458e96035bfb5fe131c12b8ea323, -79.3849007, 43.6529206
8566c69f2c6d4dd0b67225fcd492818170d86e6d, -77.3124820417139, 25.06013005
3e09c1f289b48e3f01cff25582af53440ff43d5a, -100.4458824, 39.7837304
